RP,Condition1H2L,Participant,TonicPeriodPost,StartTimePost,EndTimePost,TonicSCLPost,ParticipantPost,TonicSCLPre,TonicPeriodPost,EndTimePost,StartTimePost,Participant,TonicSCLPost,TonicSCLPre,tonicDiff
57,1,57_EDA Analysis_3_45 PM.xlsx,269.343692,0,490.076,4.880282,57_EDA_stats_2_00 PM.txt,6.063826,33.438000,162.400000,102.4,57_EDA Analysis_3_45 PM.xlsx,4.880282,6.063826,-1.183544
,,,,177.456,,,,,,,,,,,0
59,1,59_EDA Analysis_3_46 PM.xlsx,173.586482,146.298,463.446,5.399163,59_EDA_stats_2_00 PM.txt,16.499465,32.406000,131.200000,71.2,59_EDA Analysis_3_46 PM.xlsx,5.399163,16.499465,-11.100302
60,2,60_EDA Analysis_3_47 PM.xlsx,201.333728,166.27,487.316,11.41475,60_EDA_stats_2_01 PM.txt,12.486852,28.524000,151.200000,91.2,60_EDA Analysis_3_47 PM.xlsx,11.41475,12.486852,-1.072102
61,1,61_EDA Analysis_3_48 PM.xlsx,15.73,166.27,182,4.218265,61_EDA_stats_2_01 PM.txt,4.425049,49.078000,151.200000,91.2,61_EDA Analysis_3_48 PM.xlsx,4.218265,4.425049,-0.206784
62,2,62_EDA Analysis_3_49 PM.xlsx,320.438,263.38,583.818,0.722222,62_EDA_stats_2_02 PM.txt,0.723083,60.000000,248.300000,188.3,62_EDA Analysis_3_49 PM.xlsx,0.722222,0.723083,-0.000861
63,1,63_EDA Analysis_3_50 PM.xlsx,261.587598,262.156,567.924,1.470753,63_EDA_stats_2_03 PM.txt,0.832175,46.528000,247.100000,187.1,63_EDA Analysis_3_50 PM.xlsx,1.470753,0.832175,0.638578
64,2,64_EDA Analysis_1_47 PM.xlsx,6.314,234.12,240.434,8.584562,64_EDA_stats_2_03 PM.txt,9.324134,43.918000,219.100000,159.1,64_EDA Analysis_1_47 PM.xlsx,8.584562,9.324134,-0.739572
65,1,65_EDA Analysis_3_51 PM.xlsx,263.102075,488.384,796.558,2.675588,65_EDA_stats_4_55 PM.txt,4.313599,32.636000,473.300000,413.3,65_EDA Analysis_3_51 PM.xlsx,2.675588,4.313599,-1.638011
,,66_EDA Analysis_3_51 PM.xlsx,51.653534,89.462,171.318,5.30646,66_EDA_stats_4_56 PM.txt,5.699794,42.962000,61.400000,1.4,66_EDA Analysis_3_51 PM.xlsx,5.30646,5.699794,-0.393334
,,68_EDA Analysis_3_56 PM.xlsx,13.068,47.746,60.814,1.569992,,,,,,68_EDA Analysis_3_56 PM.xlsx,1.569992,,1.569992
,,69_EDA Analysis_3_58 PM.xlsx,3.704,2814.2,2817.904,0.714241,69_EDA_stats_4_56 PM.txt,0.714813,60.000000,2799.200000,2739.2,69_EDA Analysis_3_58 PM.xlsx,0.714241,0.714813,-0.000572
70,2,70_EDA Analysis_3_59 PM.xlsx,242.806869,371.15,744.852,12.744372,70_EDA_stats_4_57 PM.txt,14.744563,38.854000,356.100000,296.1,70_EDA Analysis_3_59 PM.xlsx,12.744372,14.744563,-2.000191
71,1,71_EDA Analysis_4_00 PM.xlsx,217.626646,240.98,550.668,1.948203,71_EDA_stats_4_58 PM.txt,2.328149,13.038000,225.900000,165.9,71_EDA Analysis_4_00 PM.xlsx,1.948203,2.328149,-0.379946
,,72_EDA Analysis_4_01 PM.xlsx,2.814,198.796,201.61,3.889872,72_EDA_stats_4_58 PM.txt,1.679317,49.670000,99.400000,39.4,72_EDA Analysis_4_01 PM.xlsx,3.889872,1.679317,2.210555
73,2,73_EDA Analysis_4_01 PM.xlsx,153.07572,166.818,491.266,12.891763,73_EDA_stats_4_59 PM.txt,8.752386,50.242000,151.800000,91.8,73_EDA Analysis_4_01 PM.xlsx,12.891763,8.752386,4.139377
74,2,74_EDA Analysis_4_02 PM.xlsx,255.443141,226.078,559.51,3.053536,74_EDA_stats_5_00 PM.txt,2.736252,43.086000,211.000000,151,74_EDA Analysis_4_02 PM.xlsx,3.053536,2.736252,0.317284
75,1,75_EDA Analysis_4_02 PM.xlsx,457.524,170.336,627.86,0.012424,75_EDA_stats_5_00 PM.txt,0.012397,60.000000,155.300000,95.3,75_EDA Analysis_4_02 PM.xlsx,0.012424,0.012397,0.000027
76,2,76_EDA Analysis_4_03 PM.xlsx,260.743739,296.87,616.998,1.305074,76_EDA_stats_5_01 PM.txt,1.219237,48.224000,281.800000,221.8,76_EDA Analysis_4_03 PM.xlsx,1.305074,1.219237,0.085837
77,1,77_EDA Analysis_4_04 PM.xlsx,267.512555,194.714,505.776,1.70299,77_EDA_stats_5_01 PM.txt,1.015550,52.176000,185.600000,125.6,77_EDA Analysis_4_04 PM.xlsx,1.70299,1.015550,0.68744
78,2,78_EDA Analysis_4_04 PM.xlsx,295.735071,200.694,517.87,0.741187,78_EDA_stats_5_02 PM.txt,0.717771,60.000000,141.500000,81.5,78_EDA Analysis_4_04 PM.xlsx,0.741187,0.717771,0.023416
79,1,79_EDA Analysis_4_05 PM.xlsx,228.522782,156.534,462.092,1.049308,,,,,,79_EDA Analysis_4_05 PM.xlsx,1.049308,,1.049308
80,2,80_EDA Analysis_4_06 PM.xlsx,221.336674,176.286,493.054,2.155925,80_EDA_stats_5_02 PM.txt,2.119938,29.872000,161.200000,101.2,80_EDA Analysis_4_06 PM.xlsx,2.155925,2.119938,0.035987
81,1,81_EDA Analysis_4_07 PM.xlsx,193.42825,395.928,724.16,9.426094,81_EDA_stats_5_03 PM.txt,10.537752,34.180000,380.900000,320.9,81_EDA Analysis_4_07 PM.xlsx,9.426094,10.537752,-1.111658
82,2,82_EDA Analysis_4_08 PM.xlsx,331.088,176.634,507.722,0.726762,82_EDA_stats_5_03 PM.txt,0.728780,60.000000,161.600000,101.6,82_EDA Analysis_4_08 PM.xlsx,0.726762,0.728780,-0.002018
83,1,83_EDA Analysis_4_09 PM.xlsx,225.834329,339.164,653.872,2.15427,83_EDA_stats_5_04 PM.txt,2.452389,40.802000,324.100000,264.1,83_EDA Analysis_4_09 PM.xlsx,2.15427,2.452389,-0.298119
84,2,84_EDA Analysis_4_10 PM.xlsx,214.441493,207.934,515.094,13.974613,84_EDA_stats_5_04 PM.txt,12.670577,28.676000,192.900000,132.9,84_EDA Analysis_4_10 PM.xlsx,13.974613,12.670577,1.304036
85,1,85_EDA Analysis_4_11 PM.xlsx,435.726,244.214,679.94,0.720922,85_EDA_stats_5_06 PM.txt,0.721767,60.000000,229.200000,169.2,85_EDA Analysis_4_11 PM.xlsx,0.720922,0.721767,-0.000845
86,2,86_EDA Analysis_4_11 PM.xlsx,170.834258,260.772,564.07,8.602052,86_EDA_stats_5_06 PM.txt,6.886117,25.060000,245.700000,185.7,86_EDA Analysis_4_11 PM.xlsx,8.602052,6.886117,1.715935
,,87_EDA Analysis_4_12 PM.xlsx,336.016646,227,698.438,1.047242,87_EDA_stats_5_07 PM.txt,0.721664,60.000000,212.000000,152,87_EDA Analysis_4_12 PM.xlsx,1.047242,0.721664,0.325578
88,2,88_EDA Analysis_4_13 PM.xlsx,271.65797,182.782,602.474,5.324664,88_EDA_stats_5_07 PM.txt,5.949094,35.552000,167.700000,107.7,88_EDA Analysis_4_13 PM.xlsx,5.324664,5.949094,-0.62443
89,1,89_EDA Analysis_4_13 PM.xlsx,312.851915,216.476,541.726,1.771016,89_EDA_stats_5_08 PM.txt,3.434730,35.470000,201.400000,141.4,89_EDA Analysis_4_13 PM.xlsx,1.771016,3.434730,-1.663714
90,2,90_EDA Analysis_4_14 PM.xlsx,188.764787,235.842,552.25,6.480334,90_EDA_stats_5_08 PM.txt,7.016306,29.390000,220.800000,160.8,90_EDA Analysis_4_14 PM.xlsx,6.480334,7.016306,-0.535972
91,1,91_EDA Analysis_4_15 PM.xlsx,269.140073,244.028,553.108,4.01179,91_EDA_stats_5_08 PM.txt,6.291681,37.564000,229.000000,169,91_EDA Analysis_4_15 PM.xlsx,4.01179,6.291681,-2.279891
92,2,92_EDA Analysis_4_16 PM.xlsx,316.918,174.064,490.982,0.717136,92_EDA_stats_5_09 PM.txt,0.717528,60.000000,159.000000,99,92_EDA Analysis_4_16 PM.xlsx,0.717136,0.717528,-0.000392
93,2,93_EDA Analysis_4_16 PM.xlsx,311.658,191.494,503.152,20.701174,93_EDA_stats_5_09 PM.txt,20.701290,60.000000,176.400000,116.4,93_EDA Analysis_4_16 PM.xlsx,20.701174,20.701290,-0.000116
94,2,94_EDA Analysis_4_17 PM.xlsx,319.172,181.74,500.912,0.729026,94_EDA_stats_5_10 PM.txt,0.732354,60.000000,166.700000,106.7,94_EDA Analysis_4_17 PM.xlsx,0.729026,0.732354,-0.003328
95,1,95_EDA Analysis_4_17 PM.xlsx,306.966,198.956,505.922,0.717592,,,,,,95_EDA Analysis_4_17 PM.xlsx,0.717592,,0.717592
,,96_EDA Analysis_1_21 PM.xlsx,226.2401,286.738,591.424,6.710559,95_EDA_stats_5_10 PM.txt,0.719055,60.000000,183.900000,123.9,96_EDA Analysis_1_21 PM.xlsx,6.710559,0.719055,5.991504
,,96_EDA Analysis_4_18 PM.xlsx,226.2401,286.738,591.424,6.710559,96_EDA_stats_5_11 PM.txt,12.451271,25.232000,271.700000,211.7,96_EDA Analysis_4_18 PM.xlsx,6.710559,12.451271,-5.740712
,,97_EDA Analysis_4_19 PM.xlsx,206.25762,246.296,555.926,2.207992,97_EDA_stats_5_11 PM.txt,1.663791,36.664000,231.200000,171.2,97_EDA Analysis_4_19 PM.xlsx,2.207992,1.663791,0.544201
